Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,MA125,Fear_Greed_Index
2002-08-07 00:00:00-04:00,28.381346038643624,28.603219189349666,27.66395345746624,28.266712188720703,3205600,0.0,0.0,0.0,34.56755567932129,24.376989050203456
2002-08-08 00:00:00-04:00,28.266706725251495,28.769620607658005,27.99306049837732,28.721546173095703,2317200,0.0,0.0,0.0,34.522664047241214,18.756995302962295
2002-08-09 00:00:00-04:00,28.325893397963245,28.913860549096725,28.26672850687896,28.477508544921875,4054000,0.0,0.0,0.0,34.47461183166504,20.58911151119157
2002-08-12 00:00:00-04:00,28.288891371352097,28.75482684271805,28.181652098189407,28.54774284362793,1342000,0.0,0.0,0.0,34.42653216552734,18.23668964701879
2002-08-13 00:00:00-04:00,28.510782036148594,28.77703104101878,27.69724591795297,27.734224319458008,2094800,0.0,0.0,0.0,34.369321395874024,21.41405785684432
2002-08-14 00:00:00-04:00,27.937599576228788,28.810303075744045,27.419893680051405,28.725250244140625,6681200,0.0,0.0,0.0,34.323575393676755,18.719252295217753
2002-08-15 00:00:00-04:00,28.954533340476598,29.02849014865251,28.618023374352017,28.754846572875977,3498400,0.0,0.0,0.0,34.278478759765626,19.067883341313284
2002-08-16 00:00:00-04:00,28.714164260336965,29.335410928363835,28.577341086694254,29.194889068603516,2472000,0.0,0.0,0.0,34.2422366027832,43.96044290989218
2002-08-19 00:00:00-04:00,29.364987078760038,29.686702154904598,29.23925717515068,29.601652145385742,3215600,0.0,0.0,0.0,34.20468064880371,39.47918551998136
2002-08-20 00:00:00-04:00,29.512900206736443,29.542484044958464,29.231862207437548,29.4537353515625,2326600,0.0,0.0,0.0,34.17180583190918,47.40715663774265
2002-08-21 00:00:00-04:00,29.542488392157676,30.063893037782986,29.350199057959223,30.056495666503906,2511600,0.0,0.0,0.0,34.13891996765137,45.61789412250015
2002-08-22 00:00:00-04:00,30.026922294944235,30.415202605652656,29.823539654173892,30.248798370361328,1878800,0.0,0.0,0.0,34.105863418579105,54.229920503162695
2002-08-23 00:00:00-04:00,30.02690740544612,30.211802162428597,29.4537353515625,29.4537353515625,3484600,0.0,0.0,0.0,34.0651495513916,52.721685437964304
2002-08-26 00:00:00-04:00,29.58318199191924,30.082397623778462,29.305839660744997,29.98995018005371,2294200,0.0,0.0,0.0,34.027458282470704,47.94324024853287
2002-08-27 00:00:00-04:00,30.230291442859915,30.24508336132319,29.331702850423188,29.41675567626953,2726800,0.0,0.0,0.0,33.98812832641602,55.195583332391045
2002-08-28 00:00:00-04:00,29.102439458559953,29.23186807142748,28.721556634173165,28.84358787536621,2720800,0.0,0.0,0.0,33.93743489074707,59.60829733765937
2002-08-29 00:00:00-04:00,28.418326344419803,29.294728593304942,28.418326344419803,29.058063507080078,2405600,0.0,0.0,0.0,33.884036727905276,50.545610046893785
2002-08-30 00:00:00-04:00,28.973016723092936,29.279942790734,28.75114351105602,28.86208152770996,1380800,0.0,0.0,0.0,33.828422302246096,51.20496243633924
2002-09-03 00:00:00-04:00,28.344367763386977,28.584731519805874,27.793382158995495,28.01155662536621,3562400,0.0,0.0,0.0,33.7625262298584,52.95394356474379
2002-09-04 00:00:00-04:00,27.99306482191284,28.76962505113344,27.900617444269443,28.60321807861328,1916400,0.0,0.0,0.0,33.70106886291504,42.7374607580124
2002-09-05 00:00:00-04:00,28.196442942146042,28.514462065293433,28.030038833618164,28.030038833618164,1483200,0.0,0.0,0.0,33.63209014892578,44.19809657287524
2002-09-06 00:00:00-04:00,28.39983314542161,28.991495748186676,28.39983314542161,28.954517364501953,2753400,0.0,0.0,0.0,33.57044839477539,48.34007897300333
2002-09-09 00:00:00-04:00,28.880577526598586,29.15791982580652,28.37766326499979,28.865785598754883,1222400,0.0,0.0,0.0,33.50856883239746,42.91623606442001
2002-09-10 00:00:00-04:00,29.083956397394758,29.17270512301359,28.691977451808604,29.046977996826172,1767800,0.0,0.0,0.0,33.45061729431152,48.929964120311475
2002-09-11 00:00:00-04:00,29.583158350951745,29.583158350951745,28.936026762024678,28.954517364501953,1719400,0.0,0.0,0.0,33.39059825134277,44.883869078678245
2002-09-12 00:00:00-04:00,28.843590278130073,28.969317394363173,28.462707422014518,28.473800659179688,1948400,0.0,0.0,0.0,33.32555339050293,43.96201069199604
2002-09-13 00:00:00-04:00,28.34617792511698,28.835928520186187,28.29052386940126,28.828506469726562,2655200,0.128,0.0,0.0,33.26169383239746,40.2024111293109
2002-09-16 00:00:00-04:00,28.791392285081542,28.84704631678079,28.42779122858551,28.49457550048828,1133000,0.0,0.0,0.0,33.19327452087402,49.714603605350206
2002-09-17 00:00:00-04:00,28.717184319423676,28.85075284240509,27.98997948912553,28.104995727539062,2629600,0.0,0.0,0.0,33.12640031433106,50.44448507815877
2002-09-18 00:00:00-04:00,27.69687658292607,28.086449162047202,27.52991447986121,28.030797958374023,2323200,0.0,0.0,0.0,33.054034637451174,32.816269391419226
2002-09-19 00:00:00-04:00,27.270193290220632,27.667187827612928,26.93627198991844,27.00676727294922,1405200,0.0,0.0,0.0,32.97563049316406,35.87398180289491
2002-09-20 00:00:00-04:00,27.362953605870064,27.429737877050638,27.010482793389126,27.121788024902344,1485600,0.0,0.0,0.0,32.901716796875,40.65856887959825
2002-09-23 00:00:00-04:00,26.936285089510953,27.043882162528085,26.268444994805233,26.453956604003906,2234800,0.0,0.0,0.0,32.81918542480469,35.1116104365306
2002-09-24 00:00:00-04:00,26.22761745492898,26.66171369680562,26.157122177285775,26.2498779296875,2243400,0.0,0.0,0.0,32.732277557373045,31.93383036604846
2002-09-25 00:00:00-04:00,26.43538839635049,27.047576904296875,26.338921625050375,27.047576904296875,2974800,0.0,0.0,0.0,32.653314788818356,31.310212859065338
2002-09-26 00:00:00-04:00,27.233105821617944,27.50395119606104,27.014200642568515,27.403776168823242,4840000,0.0,0.0,0.0,32.57690657043457,40.05786756441713
2002-09-27 00:00:00-04:00,27.177446353869623,27.470554988699007,26.7285086718698,26.732219696044922,2526000,0.0,0.0,0.0,32.497014328002926,34.825661478729494
2002-09-30 00:00:00-04:00,26.453953267767492,26.92886247451379,26.14971438027801,26.546709060668945,3999800,0.0,0.0,0.0,32.41773281860352,26.748320492221108
2002-10-01 00:00:00-04:00,26.899179938214814,27.40006065368652,26.324092890021497,27.400060653686523,3433400,0.0,0.0,0.0,32.34412745666504,39.66252285713471
2002-10-02 00:00:00-04:00,27.140344604164575,27.355538715408738,26.63946390644127,26.732219696044922,2099000,0.0,0.0,0.0,32.26559239196777,34.92209557425508
2002-10-03 00:00:00-04:00,26.69140726599529,26.962252589944946,26.309253860814596,26.442819595336914,2119800,0.0,0.0,0.0,32.18108361816406,23.765563091252723
2002-10-04 00:00:00-04:00,26.620923902572745,26.620923902572745,25.544955680443586,25.711917877197266,4060200,0.0,0.0,0.0,32.09181918334961,13.821379227154713
2002-10-07 00:00:00-04:00,25.582047787710756,25.823213427059535,24.895655453166,25.021804809570312,2920000,0.0,0.0,0.0,31.991339447021485,18.13079202129108
2002-10-08 00:00:00-04:00,25.41879630819095,25.41879630819095,24.65448670908791,25.211021423339844,5766800,0.0,0.0,0.0,31.89718273925781,25.932191360676565
2002-10-09 00:00:00-04:00,24.914208936742714,25.040355468499232,24.109089256252208,24.153610229492188,4646000,0.0,0.0,0.0,31.78798715209961,13.478518048101346
2002-10-10 00:00:00-04:00,24.14247067615545,24.888227827846567,23.968089383058796,24.858545303344727,5369400,0.0,0.0,0.0,31.686643997192384,16.231871876503085
2002-10-11 00:00:00-04:00,25.14423858164022,25.78239887670195,25.14423858164022,25.489290237426758,6104000,0.0,0.0,0.0,31.58282305908203,22.90222336280154
2002-10-14 00:00:00-04:00,25.266669613147887,25.685927479153822,25.266669613147887,25.659955978393555,3476800,0.0,0.0,0.0,31.48296369934082,20.52215365201352
2002-10-15 00:00:00-04:00,26.25358163607597,26.73220152476969,26.131143397663134,26.695096969604492,5130200,0.0,0.0,0.0,31.392683807373047,33.24301272478039
2002-10-16 00:00:00-04:00,26.342651925277398,26.465090282603846,25.867742596998557,26.02728271484375,2821800,0.0,0.0,0.0,31.297297424316405,35.530925498655094
2002-10-17 00:00:00-04:00,26.66543730346395,26.858368114007966,26.472503662237674,26.806425094604492,5284000,0.0,0.0,0.0,31.21215675354004,33.456914947609256
2002-10-18 00:00:00-04:00,26.59123522140471,26.98081075992597,26.550422438105045,26.862083435058594,2756200,0.0,0.0,0.0,31.12639924621582,41.96796347111885
2002-10-21 00:00:00-04:00,26.6394695148029,27.31473169205198,26.61720619574717,27.214553833007812,3263600,0.0,0.0,0.0,31.045998916625976,36.051401473564866
2002-10-22 00:00:00-04:00,26.973389387975494,27.17003409003695,26.750776002087992,26.865795135498047,3712400,0.0,0.0,0.0,30.96201188659668,43.82493327482734
2002-10-23 00:00:00-04:00,26.71366433318094,27.35924376197526,26.565254520749146,27.29245948791504,3649800,0.0,0.0,0.0,30.88716195678711,46.01191138841983
2002-10-24 00:00:00-04:00,27.418609068224878,27.50765382421993,26.999351131996402,27.029033660888672,5630200,0.0,0.0,0.0,30.809319763183595,39.99218915831449
2002-10-25 00:00:00-04:00,26.954825901792713,27.61895751953125,26.954825901792713,27.61895751953125,4374800,0.0,0.0,0.0,30.731387573242188,44.48037283990785
2002-10-28 00:00:00-05:00,27.9751433037145,27.9751433037145,27.214544789319334,27.307300567626953,2487600,0.0,0.0,0.0,30.648896759033203,53.16055417555095
2002-10-29 00:00:00-05:00,27.28875807737148,27.37409183001899,26.7804552634273,27.229393005371094,4680000,0.0,0.0,0.0,30.56475,54.86225602676925
2002-10-30 00:00:00-05:00,27.45570525906981,27.726553326719813,27.247933260224556,27.696870803833008,3422800,0.0,0.0,0.0,30.485670791625978,52.446175395090656
2002-10-31 00:00:00-05:00,27.845287766577144,27.964015058053096,27.57815065308577,27.641223907470703,5474000,0.0,0.0,0.0,30.411899978637695,60.79045754525176
2002-11-01 00:00:00-05:00,27.55588508302529,28.364715574550456,27.43715780127305,28.290512084960938,4799800,0.0,0.0,0.0,30.345447677612306,62.05496860567397
2002-11-04 00:00:00-05:00,28.713480374637747,29.051112788372087,28.494578082316544,28.535390853881836,4515800,0.0,0.0,0.0,30.27396173095703,69.52344080458043
2002-11-05 00:00:00-05:00,28.58733109501597,28.66153458302299,28.320194009100092,28.583620071411133,2669800,0.0,0.0,0.0,30.208320053100586,64.41597862253067
2002-11-06 00:00:00-05:00,28.828485140805885,29.125304664564194,28.58732246226812,29.069650650024414,3383400,0.0,0.0,0.0,30.151346588134764,74.58132256547815
2002-11-07 00:00:00-05:00,28.88416966162896,28.88416966162896,28.30908511915242,28.37957763671875,3318400,0.0,0.0,0.0,30.08510531616211,63.70256387161588
2002-11-08 00:00:00-05:00,28.438935390375367,28.565081948676102,27.952892961665473,27.99370574951172,2176200,0.0,0.0,0.0,30.006925567626954,69.44616941334382
2002-11-11 00:00:00-05:00,27.99368828376172,27.99368828376172,27.299876984622593,27.31471824645996,2235800,0.0,0.0,0.0,29.923608963012697,65.08550044820886
2002-11-12 00:00:00-05:00,29.548285690397673,29.60022870889989,27.47426748263588,27.752534866333008,2507000,0.0,0.0,0.0,29.84736508178711,66.94492262685807
2002-11-13 00:00:00-05:00,27.722857994048624,28.197767306298083,27.474273093212233,27.90094757080078,2486400,0.0,0.0,0.0,29.77139370727539,68.62382033275632
2002-11-14 00:00:00-05:00,28.123549665567907,28.605877955197133,28.090156117518656,28.50570297241211,2136600,0.0,0.0,0.0,29.70403707885742,63.33542500017074
2002-11-15 00:00:00-05:00,28.327613405390533,28.75429054084259,28.327613405390533,28.49457550048828,1922800,0.0,0.0,0.0,29.64107604980469,69.16830498160834
2002-11-18 00:00:00-05:00,28.847052774667965,28.847052774667965,28.22373370759576,28.275676727294922,2844200,0.0,0.0,0.0,29.578134185791015,74.61770525767277
2002-11-19 00:00:00-05:00,28.20889923527415,28.457484150952762,28.030809647888827,28.175508499145508,2249400,0.0,0.0,0.0,29.508637649536134,64.90312725953312
2002-11-20 00:00:00-05:00,28.086452975082068,28.921255111694336,28.0196686909258,28.921255111694336,2492400,0.0,0.0,0.0,29.449768798828124,58.550323146113605
2002-11-21 00:00:00-05:00,28.947242001424293,29.518618329317878,28.85077796358471,29.485227584838867,3331200,0.0,0.0,0.0,29.3961492767334,74.82170623660173
2002-11-22 00:00:00-05:00,29.236637320451397,29.733807186243265,29.188402479569724,29.68928337097168,3888400,0.0,0.0,0.0,29.347850189208984,66.86875053617513
2002-11-25 00:00:00-05:00,29.68185946949426,30.012069929637768,29.533449606010247,29.885923385620117,2283800,0.0,0.0,0.0,29.30009181213379,77.48637834403065
2002-11-26 00:00:00-05:00,29.885931154491054,29.978686989445176,29.385047381192052,29.55200958251953,2437000,0.0,0.0,0.0,29.251786392211915,66.3581736160364
2002-11-27 00:00:00-05:00,29.830264459080244,30.40534869393039,29.74121968781174,30.35711669921875,2574600,0.0,0.0,0.0,29.216560501098634,81.40692435837168
2002-11-29 00:00:00-05:00,30.368238534195584,30.50922911624254,29.97866599857454,29.98237419128418,958000,0.0,0.0,0.0,29.178277526855467,76.88628474082684
2002-12-02 00:00:00-05:00,30.609423885616984,30.705890741362975,30.02320636092845,30.21242904663086,3044000,0.0,0.0,0.0,29.140861236572267,78.4217872072938
2002-12-03 00:00:00-05:00,30.015760244023113,30.12335725004086,29.655867493369442,29.681838989257812,2852800,0.0,0.0,0.0,29.1046291809082,79.624034372246
2002-12-04 00:00:00-05:00,29.436972525357028,29.737503172757883,29.180968501392538,29.38874053955078,2430000,0.0,0.0,0.0,29.063573974609376,78.5862751952158
2002-12-05 00:00:00-05:00,29.711531729762136,29.711531729762136,29.106762240651435,29.251461029052734,2432800,0.0,0.0,0.0,29.02171563720703,74.67360869714382
2002-12-06 00:00:00-05:00,28.939822189624564,29.526039780009228,28.884168119277025,29.370210647583008,1557000,0.0,0.0,0.0,28.985233016967772,61.647261511814406
2002-12-09 00:00:00-05:00,29.13644602034228,29.251462285117594,28.531679335944478,28.591041564941406,2156400,0.0,0.0,0.0,28.941631790161132,75.15325677165418
2002-12-10 00:00:00-05:00,28.746872560451802,29.27743573486107,28.743161536663834,29.14757537841797,2678800,0.0,0.0,0.0,28.906318588256838,79.4669738048757
2002-12-11 00:00:00-05:00,29.014003341375368,29.366476961139277,28.97690160000059,29.180965423583984,3124400,0.0,0.0,0.0,28.86908024597168,60.66178985134108
2002-12-12 00:00:00-05:00,29.310835749581962,29.444404341477707,28.62815435161051,29.299705505371094,1891200,0.0,0.0,0.0,28.826490646362306,58.99748657411136
2002-12-13 00:00:00-05:00,29.061096214708957,29.788091376587555,28.692008026155648,28.725563049316406,2011200,0.19,0.0,0.0,28.77853877258301,65.06525559161665
2002-12-16 00:00:00-05:00,28.818767004149887,29.27733050853052,28.818767004149887,29.240049362182617,2859800,0.0,0.0,0.0,28.740293853759766,66.8371064435967
2002-12-17 00:00:00-05:00,29.247485387178838,29.281040388075745,28.88585537454579,28.930591583251953,2077200,0.0,0.0,0.0,28.700165161132812,70.04845813913676
2002-12-18 00:00:00-05:00,28.893326407995957,28.893326407995957,28.34155582635967,28.46831512451172,2486200,0.0,0.0,0.0,28.65692999267578,69.19686134803626
2002-12-19 00:00:00-05:00,28.427307973283398,28.818767122466436,28.22971533689603,28.39748191833496,6629200,0.0,0.0,0.0,28.613985916137697,57.70202799865818
2002-12-20 00:00:00-05:00,28.609987998677017,28.800125546279713,28.4720474701785,28.71810531616211,2046200,0.0,0.0,0.0,28.577423080444337,59.95136959097738
2002-12-23 00:00:00-05:00,28.669638430404284,28.971619401452486,28.598802264111388,28.911970138549805,1882400,0.0,0.0,0.0,28.54255908203125,68.04423507389284
2002-12-24 00:00:00-05:00,28.829953402335533,28.9678939394496,28.736749106720357,28.856050491333008,673400,0.0,0.0,0.0,28.502129928588868,61.58312794492245
2002-12-26 00:00:00-05:00,28.893331640705206,29.262419854917887,28.725565046345633,28.856050491333008,1086200,0.0,0.0,0.0,28.464807037353516,56.86795479403282
2002-12-27 00:00:00-05:00,28.80011867947144,28.80011867947144,28.38629150390625,28.38629150390625,2351200,0.0,0.0,0.0,28.429198791503907,63.406075833358486
2002-12-30 00:00:00-05:00,28.44594901963575,28.572705482383714,28.073131878326603,28.29682159423828,3471000,0.0,0.0,0.0,28.400773574829103,59.33005821808872
2002-12-31 00:00:00-05:00,28.386305523087852,28.762851746463674,28.184983864383053,28.263275146484375,5448200,0.0,0.0,0.0,28.3751268157959,48.34244063953069
2003-01-02 00:00:00-05:00,28.52051298324109,29.098380723917195,28.360201489299083,29.042457580566406,4014200,0.0,0.0,0.0,28.347371139526366,55.92827325802932
2003-01-03 00:00:00-05:00,29.079744883709363,29.11702603904528,28.8299580141519,28.993995666503906,3222200,0.0,0.0,0.0,28.324612075805664,57.98614373849864
